EPM,Plant,City,State,file_name,page,stream_class,flow_gpm,dropdown_capacity_mgy,implied_mgy_14pct_beer,implied_mgy_15pct_beer,implied_mgy_16pct_beer,pct_diff_vs_capacity_at_15pct,source_line
3641,Lincolnway Energy LLC,Nevada,IA,14-TV-002R2.pdf,17,beer,1300.0,90.0,95.6592,102.49199999999999,109.3248,13.87999999999999,"Beer Feed Pump Beer 1,300 gal/min"
3642,Little Sioux Corn Processors LLLP,Marcus,IA,10-TV-005R2.pdf,13,whole_stillage,175.0,165.0,,,,,"Whole Stillage 175 gal/min, each"
3642,Little Sioux Corn Processors LLLP,Marcus,IA,10-TV-005R2.pdf,18,whole_stillage,175.0,165.0,,,,,"Whole Stillage 175 gal/min, each"
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,500.0,87.12,,,,,EU79 Centrifuge #5 500 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,500.0,87.12,,,,,EU80 Centrifuge #6 500 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,500.0,87.12,,,,,(bypass) EU79 Centrifuge #5 500 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,500.0,87.12,,,,,EU80 Centrifuge #6 500 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,255.0,87.12,,,,,EU77 Centrifuge #3 255 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,255.0,87.12,,,,,EU78 Centrifuge #4 255 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,255.0,87.12,,,,,EU77 Centrifuge #3 255 gallons/minute
3659,Pine Lake Corn Processors,Steamboat Rock,IA,19-TV-001R1.pdf,33,unknown,255.0,87.12,,,,,*S79 EU78 Centrifuge #4 255 gallons/minute
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,beer,3000.0,132.0,220.752,236.51999999999998,252.288,79.18181818181816,EU 16 Beer Column 3000 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,1967.0,132.0,,,,,EU 19 190 Proof Condenser 1967 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,1600.0,132.0,,,,,EU 33 1600 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,982.0,132.0,,,,,EU 17 Side Stripper 982 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,785.0,132.0,,,,,"E52, E106, 785 gal/min (each)"
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,785.0,132.0,,,,,EU 20 Molecular Sieve Vaporizer 785 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,700.0,132.0,,,,,EU 18 Rectifier Column 700 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,637.0,132.0,,,,,EU 26 200 Proof Flash Receiver 637 gal/min
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,11,unknown,500.0,132.0,,,,,Centrifuges (#1 - #6) 500 gal/min (each)
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,12,unknown,250.0,132.0,,,,,EU 68 Methanator #1 250 gal/min Biomethanator Flare (CE-
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,12,unknown,250.0,132.0,,,,,EU 69 Methanator #2 250 gal/min C60) or Dryer A (EU-01) and
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,12,unknown,250.0,132.0,,,,,EU 70 Methanator #3 250 gal/min Thermal Oxidizer 1
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,12,unknown,250.0,132.0,,,,,EU 71 Methanator #4 250 gal/min (CE-C10a) - See Footnote (1)
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,10-TV-008R2.pdf,12,unknown,200.0,132.0,,,,,EU 134 Oil Separator 200 gal/min
3663,Poet Biorefinning-Ashton LLC,Ashton,IA,14-TV-006.pdf,23,beer,833.3333333333334,68.0,61.32000000000001,65.7,70.08,-3.382352941176466,"EU-7 Evaporator, strippers, 3 Beer 50,000 gal/hr (Feed Rate)"
3663,Poet Biorefinning-Ashton LLC,Ashton,IA,14-TV-006.pdf,28,beer,833.3333333333334,68.0,61.32000000000001,65.7,70.08,-3.382352941176466,"EU-7 Evaporator, Strippers, Beer 50,000 gals/hr (Feed rate)"
3663,Poet Biorefinning-Ashton LLC,Ashton,IA,14-TV-006.pdf,28,syrup,140.0,68.0,,,,,EU-30 Corn Oil Separation Syrup 140 gal/min
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,833.3333333333334,65.0,,,,,"EU-7 Distillation 50,000 gal/hr NA"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,833.3333333333334,65.0,,,,,"EU-7 Distillation 50,000 gal/hr NA"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,833.0,65.0,,,,,"300,000 833 gal/min"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,833.0,65.0,,,,,"300,000 833 gal/min"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,220.0,65.0,,,,,Centrifuge #1 EU-15 220 gal/min - NA Regenerative
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,220.0,65.0,,,,,Centrifuge #2 EU-16 220 gal/min - NA Thermal Oxidizer
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,220.0,65.0,,,,,Centrifuge #3 EU-17 220 gal/min - NA
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,220.0,65.0,,,,,Centrifuge #4 EU-18 220 gal/min - NA
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,220.0,65.0,,,,,Centrifuge #5 EU-30 220 gal/min - NA
