EPM,Plant,City,capacity_mgy,dryer_type,dryer_type_from_technology_flags,fiber_to_ethanol_technology,fiber_to_ethanol_source,operating_permit_source,dryer_mmbtu_hr,boiler_mmbtu_hr,rto_thermal_oxidizer_mmbtu_hr,waste_heat_boiler_mmbtu_hr,total_thermal_mmbtu_hr,total_thermal_mmbtu_hr_per_mgy,estimated_btu_per_gal_from_heat_input,white_fox_membrane,molecular_sieve_only,chp,waste_heat_recovery,fiber_to_ethanol,d3_capable,generic_fiber_separation,high_protein,corn_oil_extraction,edeniq,fluid_quip,icm_selective_milling,icm_fst,co2_capture,rng_biogas,program,pathway_class,ci,feedstock,coproduct_type,source_date,source_detail
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,OR,corn starch,55.98,Corn,WDGS,2025-07-10,
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,WA,corn starch,72.95,corn starch,,Q3 2025,"POET Biorefining - Coon Rapids (4783, 70031); Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; ethanol produced in Coon Rapids, Iowa using BPX conversion method; Ethanol transported to Washington"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,WA,fiber/cellulosic,26.47,fiber/cellulosic,,Q1 2026,"POET Biorefining - Coon Rapids (4783, 70031); Midwest Corn, Dry Mill; Corn Oil and Syrup using natural gas and grid electricity; Corn Kernel Fiber ethanol produced in Coon Rapids, Iowa using BPX conversion method; Ethanol transported to Washington"
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,26.96,Corn Fiber (012),DDGS + WDGS,2026-05-19,
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,66.57,Corn (009),WDGS,2026-05-19,
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,OR,fiber/cellulosic,26.13,Fiber,,2025-07-10,
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,OR,corn starch,54.2,Corn,WDGS,2025-07-10,
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,WA,corn starch,66.75,corn starch,,Q1 2026,"POET Biorefining - Corning (5046, 70143); Midwest Corn, Dry Mill, Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to Washington"
3670,Poet Biorefinning-Corning LLC,Corning,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Corni.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,WA,fiber/cellulosic,26.89,fiber/cellulosic,,Q1 2026,"POET Biorefining - Corning (5046, 70143); Midwest Corn, Dry Mill, Corn Kernel Fiber, Corn Oil and Syrup using natural gas and grid electricity; Corn Kernel Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to Washington"
3671,Poet Biorefinning-Fairbank,Fairbank,132.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-010R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,25.94,Corn Fiber (012),,2026-05-19,
