epm,status,ca_facility_id,frs_id,ownership,plant_name,state,city,latitude,longitude,rail_lines,ethanol_capacity_mgy,dryer_types,technology,special_tech,wind_turbine,waste_heat,high_pro,chp,white_fox,icm_p10,reg_pathway,year_build,co2_pipeline_direct,co2_pipeline_3rd_party,co2_sponsor,d6_non_cellulosic,d3_cellulosic,facility_id_key,frs_id_key,epa_facility_name,epa_subparts,epa_sectors,epa_total_direct_emissions_mtco2e,epa_co2_non_biogenic_mt,epa_ch4_mtco2e,epa_n2o_mtco2e,epa_biogenic_co2_mt,epa_stationary_combustion_mtco2e,epa_electricity_generation_mtco2e,epa_co2_collected_onsite_flag,epa_co2_transferred_offsite_flag,epa_cem_flag
3588,Active,,110037269826.0,CHS,CHS - Annawan,IL ,Annawan,41.393398,-89.872214,IAIS,130.0,Rotary Dryer,ICM,,,,,,White Fox,,EP3,2008.0,,,,D6,D3,,110037269826,PATRIOT RENEWABLE FUELS LLC,"C,II","Other,Waste",180858.968,180664.1,93.25,101.618,123.1,180850.968,,N,N,N
3589,Active,,110040912313.0,CHS,CHS - Rochelle,IL ,Rochelle,41.89508,-89.02898,BNSF,138.0,Rotary Dryer,ICM,,,,,,,,EP3,2006.0,,,,D6,-,,110040912313,CHS-Rochelle,"C,II","Other,Waste",192859.218,192657.4,92.75,109.068,243.0,192857.468,,N,N,N
3590,Active,,110022523045.0,Hopkinsville Elevator CO-OP,Commonwealth Agri-Energy,KY ,Hopkinsville,36.81342,-87.41009,CSX,49.0,Rotary Dryer,ICM,,,,,CHP,,,EP3,2004.0,,,,D6,-,,110022523045,COMMONWEALTH AGRI-ENERGY LLC,C,Other,64908.956,64842.1,30.5,36.356,,64908.956,,N,N,N
3591,Active,70145,110070243780.0,Gold-Eagle Cooperative,Corn LP,IA ,Goldfield,42.733339,-93.910902,UP,80.0,Rotary Dryer,ICM,,,,ICM HI PRO,,,,,2006.0,,SCS,Summit Carbon Solutions,D6,D3,70145,110070243780,CORN LP,C,Other,87144.472,87054.6,41.0,48.872,,87144.472,,N,N,N
3593,Active,,,Harvestone,Dakota Spirit Agenergy,ND ,Spiritwood,46.924798,-98.503225,BNSF,80.0,Rotary Dryer,ICM,,,,,,,,,2007.0,Direct,,Direct Inject,D6,-,,,,,,,,,,,,,,,
3595,Active,,,Conestoga Energy,HET Levelland LLC,TX ,Levelland,33.588611,-102.262778,BNSF,50.274,Rotary Dryer,ICM,,,,,,,,,2007.0,,,,D6,-,,,,,,,,,,,,,,,
3596,Active,,110033219078.0,Didion Milling,Didion Ethanol LLC,WI ,Cambria,43.53731,-89.10315,WSOR/CN/UP,54.0,Ring Dryer,Delta-T,,,,,,,,EP3,0.0,,,,D6,D3,,110033219078,DIDION ETHANOL LLC,C,Other,88974.364,88882.3,42.0,50.064,,88974.364,,N,N,N
3598,Active,83483,110025333734.0,East Kansas Agri-Energy,East Kansas Agri-Energy LLC,KS ,Garnett,38.271522,-95.237414,UP,48.0,Rotary Dryer,ICM,,,,,,,,EP3,2004.0,,,,D6,D3,83483,110025333734,EAST KANSAS AGRI-ENERGY,C,Other,50316.76,50264.7,23.75,28.31,,50316.76,,N,N,N
3601,Active,,110056339886.0,ACE Ethanol,Fox River Valley Ethanol LLC,WI ,Oshkosh,43.980233,-88.651815,WSOR/CN/UP,64.0,Ring Dryer,Delta-T,,,,,,White Fox ICE,,,0.0,,,,D6,D3,,110056339886,"Fox River Valley Ethanol, LLC","C,PP","Other,Suppliers of CO2",55622.64,55565.1,26.25,31.29,,55622.64,,N,N,N
3602,Active,70058,110024579204.0,Front Range Energy LLC,Front Range Energy LLC,CO ,Windsor,40.45746,-104.856211,UP/BNSF,46.0,Rotary Dryer,ICM,,,,,,White Fox,,,2006.0,Direct,,Carbon Storage Solutions,D6,-,70058,110024579204,FRONT RANGE ENERGY,"C,PP","Other,Suppliers of CO2",40774.796,40732.6,19.25,22.946,,40774.796,,N,N,N
3604,Active,70221,110071159502.0,Glacial Lakes Cooperative,Hub City Energy LLC,SD ,Aberdeen,45.459444,-98.542789,BNSF,70.0,Rotary Dryer,ICM,,,,,,,,EP3,2007.0,,,,D6,D3,70221,110071159502,Hub City Energy,C,Other,78278.256,78197.7,36.75,43.806,,78278.256,,N,N,N
3606,Active,70799,110038367228.0,Glacial Lakes Cooperative,Glacial Lakes Energy,SD ,Mina,45.442417,-98.787139,BNSF,162.0,Rotary Dryer,ICM,,,,,,White Fox ICE,,,2008.0,,,,D6,D3,70799,110038367228,ABERDEEN ENERGY LLC,C,Other,197928.404,197724.0,93.25,111.154,,197928.404,,N,N,N
3608,Active,70691,110070243405.0,Golden Grain Energy,Golden Grain Energy LLC,IA ,Mason City,43.11204,-93.23104,UP,140.0,Rotary Dryer,ICM,,,Waste Heat Boiler,ICM HI PRO,,White Fox ICE,,,2004.0,,SCS,Summit Carbon Solutions,D6,D3,70691,110070243405,"GOLDEN GRAIN ENERGY, LLC","C,II","Other,Waste",169762.46,169587.1,80.0,95.36,,169762.46,,N,N,N
3609,Active,,,Grain Processing Corp,Grain Processing Corp,IA ,Muscatine,41.4004008422343,-91.0629891795703,CP,82.5,,Wet Mill,,,,,,White Fox ICE,,,0.0,,,,D6,-,,,,,,,,,,,,,,,
3610,Active,,,Grain Processing Corp,Grain Processing Corp,IN ,Washington,38.6359263728874,-87.2244655000325,CSX,36.72,,Wet Mill,,,,,,,,,0.0,,,,D6,-,,,,,,,,,,,,,,,
3615,Active,,110033219050.0,Green Plains,Green Plains Fairmont LLC,MN ,Fairmont,43.664021,-94.492559,UP,122.9,Ring Dryer,Delta-T,,,,,,,ICM P10,,2008.0,,,Summit Carbon Solutions,D6,D3,,110033219050,Green Plains Fairmont LLC,C,Other,159507.5,159343.1,75.0,89.4,,159507.5,,N,N,N
3616,Active,,110056955120.0,Green Plains,Green Plains Madison LLC,IL ,Madison,38.67995,-90.17185,PH/BNSF/UP/CN/NS,100.0,Rotary Dryer,Vogelbusch,,,,,,,ICM P10,EP3,2009.0,,,,D6,-,,110056955120,Green Plains Madison LLC,C,Other,146049.7,145899.0,68.75,81.95,,146049.7,,N,N,N
3617,Active,,110039173854.0,Green Plains,Green Plains Mount Vernon LLC,IN ,Mount Vernon,37.9082,-87.7257,CSX,135.0,,Vogelbusch,,,,FQPT HI PRO,,,ICM P10,,2009.0,,,,,,,110039173854,Green Plains Mount Vernon LLC,C,Other,133620.796,133482.7,63.0,75.096,,133620.796,,N,N,N
3618,Active,,110039493429.0,Green Plains,Poet Biorefining-Obion LLC,TN ,Rives,36.28305,-89.147607,CN,135.0,Rotary Dryer,ICM,,,,FQPT HI PRO,,,,EP3,2008.0,,,,D6,D3,,110039493429,GREEN PLAINS OBION LLC,C,Other,152666.976,152509.7,71.75,85.526,,152666.976,,N,N,N
3620,Active,,110027236694.0,Green Plains,Green Plains Shenandoah LLC,IA ,Shenandoah,40.7549,-95.3953,BNSF,100.0,Rotary Dryer,ICM,,,,FQPT HI PRO,,,,EP3,2007.0,,,,D6,-,,110027236694,GREEN PLAINS SHENANDOAH LLC,C,Other,101170.12,101066.0,47.5,56.62,,101170.12,,N,N,N
3623,Active,,110071160887.0,Green Plains,Green Plains York LLC,NE ,York,40.69874,-97.567402,BNSF,60.0,,Katzen,,,,,,,,,1994.0,,Tall Grass,Tall Grass,D6,D3,,110071160887,Green Plains York LLC,C,Other,86449.424,86360.1,40.75,48.574,,86449.424,,N,N,N
3624,Active,,110071099184.0,Greenfield Global,Greenfield Global Corn Plus LLC,MN ,Winnebago,43.760415,-94.149858,CP,43.0,Ring Dryer,Delta-T,,,,,,,,EP3,1994.0,,,,D6,-,,110071099184,Greenfield Global Winnebago LLC,C,Other,72514.976,72439.9,34.25,40.826,,72514.976,,N,N,N
3627,Active,,110070242681.0,"Guardian Energy, LLC",Guardian Lima LLC,OH ,Lima,40.70588,-84.08007,IORY//CSX/NS,84.0,Rotary Dryer,ICM,,,,,,,,EP3,2005.0,,,,D6,D3,,110070242681,Guardian Lima,C,Other,98695.428,98593.5,46.5,55.428,,98695.428,,N,N,N
