facility_id,plant_name,ownership,state,city,feedstock,pathway_type,fiber_technology_raw,fiber_technology,ci_score,coproduct_type,gas_supply,electricity_type,detail_date,program
70020,Poet Biorefining--Glenville LLC,POET Biorefining,MN,Albert Lea,Corn Fiber (012),Fiber,BPX,BPX,30.39,WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70033,Poet Biorefinning-Gowrie LLC,POET Biorefining,IA,Gowrie,Corn Fiber (012),Fiber,BPX,BPX,24.96,DDGS + WDGS + MDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70013,Poet Biorefining- Groton LLC,POET Biorefining,SD,Groton,Corn Fiber (012),Fiber,BPX,BPX,28.95,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70010,Poet Biorefinning-Hanlontown LLC,POET Biorefining,IA,Hanlontown,Corn Fiber (012),Fiber,BPX,BPX,27.88,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70022,Poet Biorefining- Hudson,POET Biorefining,SD,Hudson,Corn Fiber (012),Fiber,BPX,BPX,26.85,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
71684,Poet Biorefinning-Iowa Falls LLC,POET Biorefining,IA,Iowa Falls,Corn Fiber (012),Fiber,POET,POET,25.25,,Natural Gas,Grid Electricity,2026-02-11,CA
70014,Poet Biorefinning-Jewell LLC,POET Biorefining,IA,Jewell,Corn Fiber (012),Fiber,BPX,BPX,27.18,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70023,Poet Biorefining-Laddonia LLC,POET Biorefining,MO,Laddonia,Corn Fiber (012),Fiber,BPX,BPX,24.02,DDGS + WDGS,Natural Gas,Cogeneration,2026-02-11,CA
70072,Poet Biorefining--Lake Crystal LLC,POET Biorefining,MN,Lake Crystal,Corn Fiber (012),Fiber,BPX,BPX,28.01,,Natural Gas,Grid Electricity,2026-02-11,CA
70265,Poet Biorefining-Leipsic LLC,POET Biorefining,OH,Leipsic,Corn Fiber (012),Fiber,BPX,BPX,28.07,,Natural Gas,Grid Electricity,2026-02-11,CA
70017,Poet Biorefining-Macon LLC,POET Biorefining,MO,Macon,Corn Fiber (012),Fiber,BPX,BPX,25.11,,Natural Gas,Grid Electricity,2026-02-11,CA
70327,Poet Biorefining-Marion,POET Biorefining,OH,Marion,Corn Fiber (012),Fiber,BPX,BPX,27.76,,Natural Gas,Grid Electricity,2026-02-11,CA
71685,Poet Biorefinning-Menlo,POET Biorefining,IA,Menlo,Corn Fiber (012),Fiber,Proprietary Process,Proprietary Process,26.6,,Natural Gas,Grid Electricity,2026-02-11,CA
70016,Poet Biorefining- Mitchell LLC,POET Biorefining,SD,Mitchell,Corn Fiber (012),Fiber,BPX,BPX,26.48,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70322,Poet Biorefining-North Manchester,POET Biorefining,IN,North Manchester,Corn Fiber (012),Fiber,BPX,BPX,25.32,,Natural Gas,Grid Electricity,2026-02-11,CA
70108,Poet Biorefining-Portland LLC,POET Biorefining,IN,Portland,Corn Fiber (012),Fiber,BPX,BPX,26.78,,Natural Gas,Grid Electricity,2026-02-11,CA
70056,Poet Biorefining--Preston LLC,POET Biorefining,MN,Preston,Corn Fiber (012),Fiber,BPX,BPX,27.92,,Natural Gas,Grid Electricity,2026-02-11,CA
20621,Poet Biorefining-Portland LLC,POET Biorefining,IN,Shelbyville,Corn Fiber (012),Fiber,BPX,BPX,24.91,,Natural Gas,Grid Electricity,2026-02-11,CA
71686,Poet Biorefinning-Shell Rock LLC,POET Biorefining,IA,Shell Rock,Corn Fiber (012),Fiber,Proprietary Process,Proprietary Process,28.31,,Natural Gas,Grid Electricity,2026-02-11,CA
70158,Pratt Energy LLC,Pratt Energy (Scoular / Pratt JV),KS,Pratt,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,23.25,,Natural Gas,Grid Electricity,2026-02-11,CA
70111,Redfield Energy LLC,Redfield Energy,SD,Redfield,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,29.06,,Natural Gas,Grid Electricity,2026-02-11,CA
70112,Siouxland Energy Cooperative,Sioux Center,IA,Sioux Center,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,22.23,,Natural Gas,Grid Electricity,2026-02-11,CA
70134,Siouxland Ethnaol LLC,Siouxland Ethanol,NE,Jackson,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,25.0,,Biogas,Grid Electricity,2026-02-11,CA
70326,Sothwest Iowa Renewable,SIRE,IA,Council Bluffs,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,23.33,,Natural Gas,Grid Electricity,2026-02-11,CA
70884,The Andersons Marathon Holdings LLC,The Andersons,IA,Denison,Any Cellulosic Biomass (041),Fiber,EDENIQ,EDENIQ,26.38,,Natural Gas,Grid Electricity,2026-02-11,CA
70053,Trenton Agri Products LLC,Trenton Agri Products,NE,Trenton,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,26.52,,Natural Gas,Grid Electricity,2026-02-11,CA
70142,Valero Renewable Fuels LLC,Valero Renewables,IA,Albert City,Corn Fiber (012),Fiber,BPX,BPX,25.01,MDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70283,Valero Renewable Fuels,Valero Renewables,NE,Albion,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.29,,Natural Gas,Grid Electricity,2026-02-11,CA
70042,Valero Renewable Fuels LLC,Valero Renewables,IA,Charles City,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.25,,Natural Gas,Grid Electricity,2026-02-11,CA
70043,Valero Renewable Fuels LLC,Valero Renewables,IA,Ft. Dodge,Corn Fiber (012),Fiber,SOLITON,SOLITON,26.8,,Natural Gas,Grid Electricity,2026-02-11,CA
70275,Valero Renewable Fuels LLC,Valero Renewables,IA,Hartley,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.15,,Natural Gas,Grid Electricity,2026-02-11,CA
70196,Valero Renewable Fuels LLC,Valero Renewables,IN,Linden,Corn Fiber (012),Fiber,SOLITON,SOLITON,26.35,,Natural Gas,Grid Electricity,2026-02-11,CA
70276,Valero Renewable Fuels LLC,Valero Renewables,MN,Welcome,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.28,,Natural Gas,Grid Electricity,2026-02-11,CA
70030,Western Plains Energy LLC,Western Plains Energy,KS,Oakley,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.36,,Natural Gas,Grid Electricity,2026-02-11,CA
70039,Plainview Bioenergy LLC,White Energy,TX,Plainview,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.89,,Natural Gas,Grid Electricity,2026-02-11,CA
70021,Poet Biorefinning-Emmetsburg LLC,POET Biorefining,IA,Emmetsburg,Corn Fiber (012),Fiber,BPX,BPX,27.51,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
